1984/1984-11|Protein-tyrosine phosphatase LC-PTP|CHEMBL2219|1.00
1984/1984-12_B|Anandamide amidohydrolase|CHEMBL2243|1.00
1984/1984-12_C|Anandamide amidohydrolase|CHEMBL2243|1.00
1984/1984-150|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1984/1984-15_A|Fatty acid binding protein intestinal|CHEMBL4879|1.00
1984/1984-15_A|Toll-like receptor 2|CHEMBL4163|1.00
1984/1984-15_A|Peroxisome proliferator-activated receptor delta|CHEMBL3979|1.00
1984/1984-15_A|Fatty acid binding protein epidermal|CHEMBL3674|1.00
1984/1984-15_A|Fatty acid binding protein muscle|CHEMBL3344|1.00
1984/1984-15_A|Peroxisome proliferator-activated receptor alpha|CHEMBL239|1.00
1984/1984-15_A|Fatty acid binding protein adipocyte|CHEMBL2083|1.00
1984/1984-15_B|Fatty acid binding protein intestinal|CHEMBL4879|1.00
1984/1984-15_B|Toll-like receptor 2|CHEMBL4163|1.00
1984/1984-15_B|Peroxisome proliferator-activated receptor delta|CHEMBL3979|1.00
1984/1984-15_B|Fatty acid binding protein epidermal|CHEMBL3674|1.00
1984/1984-15_B|Fatty acid binding protein muscle|CHEMBL3344|1.00
1984/1984-15_B|Peroxisome proliferator-activated receptor alpha|CHEMBL239|1.00
1984/1984-15_B|Fatty acid binding protein adipocyte|CHEMBL2083|1.00
1984/1984-15_C|Peroxisome proliferator-activated receptor delta|CHEMBL3979|1.00
1984/1984-15_C|Peroxisome proliferator-activated receptor alpha|CHEMBL239|1.00
1984/1984-160|Arachidonate 12-lipoxygenase|CHEMBL3687|1.00
1984/1984-160|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
1984/1984-161|Arachidonate 12-lipoxygenase|CHEMBL3687|1.00
1984/1984-161|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
1984/1984-161|Aldose reductase|CHEMBL1900|1.00
1984/1984-163|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
1984/1984-163|Arachidonate 12-lipoxygenase|CHEMBL3687|1.00
1984/1984-164|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
1984/1984-169|Arachidonate 12-lipoxygenase|CHEMBL3687|1.00
1984/1984-169|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
1984/1984-170|Arachidonate 12-lipoxygenase|CHEMBL3687|1.00
1984/1984-170|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
1984/1984-171|Arachidonate 12-lipoxygenase|CHEMBL3687|1.00
1984/1984-171|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
1984/1984-173|Arachidonate 12-lipoxygenase|CHEMBL3687|1.00
1984/1984-173|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
1984/1984-174|Arachidonate 12-lipoxygenase|CHEMBL3687|1.00
1984/1984-174|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
1984/1984-232|Arachidonate 12-lipoxygenase|CHEMBL3687|1.00
1984/1984-232|Cholesteryl ester transfer protein|CHEMBL3572|1.00
1984/1984-232|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
1984/1984-232|Arachidonate 5-lipoxygenase|CHEMBL215|1.00
1984/1984-232|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1984/1984-233|Arachidonate 12-lipoxygenase|CHEMBL3687|1.00
1984/1984-233|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
1984/1984-234|Arachidonate 12-lipoxygenase|CHEMBL3687|1.00
1984/1984-234|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
1984/1984-242|Protein farnesyltransferase|CHEMBL2094108|1.00
1984/1984-242|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1984/1984-285|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
1984/1984-286|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1984/1984-287|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
1984/1984-300_A|DNA polymerase kappa|CHEMBL5365|1.00
1984/1984-300_A|Phospholipase A2 group 1B|CHEMBL4426|1.00
1984/1984-300_A|Phospholipase A2 group IIA|CHEMBL3474|1.00
1984/1984-300_B|DNA polymerase kappa|CHEMBL5365|1.00
1984/1984-300_B|Phospholipase A2 group 1B|CHEMBL4426|1.00
1984/1984-300_B|Phospholipase A2 group IIA|CHEMBL3474|1.00
1984/1984-310|Phospholipase A2 group IIA|CHEMBL3474|1.00
1984/1984-312|Nuclear factor NF-kappa-B complex|CHEMBL2094258|1.00
1984/1984-312|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1984/1984-313|Phospholipase A2 group IIA|CHEMBL3474|1.00
1984/1984-314|Phospholipase A2 group IIA|CHEMBL3474|1.00
