Pharmacop+1:27hore Name FitValue ShapeSimilarity 
3e2m-01-s HDZWM-740 0.248533 0.509482 
1y6a-01-s HDZWM-740 0.190358 0.528653 
1u59-01-s HDZWM-740 0.995348 0.674663 
2ovv-01-s HDZWM-740 0.827838 0.537092 
2ovy-01-s HDZWM-740 0.78363 0.533724 
3pz1-01-s HDZWM-740 0.4008 0.506477 
3s2a-01-s HDZWM-740 0.192594 0.540115 
4anx-01-s HDZWM-740 0.568543 0.514628 
1pye-01-s HDZWM-740 0.0741269 0.542056 
1q3d-01-s HDZWM-740 0.984202 0.665653 
1uu3-01-s HDZWM-740 0.46448 0.538136 
2buj-01-s HDZWM-740 0.980471 0.673282 
2ds1-01-s HDZWM-740 0.288964 0.556748 
3p86-01-s HDZWM-740 0.988625 0.683721 
1byg-01-s HDZWM-740 0.985673 0.657056 
1xbc-01-s HDZWM-740 0.995675 0.675266 
2dq7-01-s HDZWM-740 0.987092 0.694357 
4aw5-01-s HDZWM-740 0.093083 0.507208 
1y2g-01-s HDZWM-740 0.280338 0.520186 
3ki6-01-s HDZWM-740 0.719045 0.506849 
3std-01-s HDZWM-740 0.527312 0.517451 
3vha-01-s HDZWM-740 0.324675 0.511244 
2nry-01-s HDZWM-740 0.998348 0.677469 
2oic-01-s HDZWM-740 0.990337 0.716323 
2hz4-01-s HDZWM-740 0.99073 0.673716 
1yvj-01-s HDZWM-740 0.974775 0.662722 
